Facility,Item Type Name,Item SkuCode,EAN,UPC,ISBN,Color,Size,Brand,Category Name,MRP,Open Sale,Inventory,Inventory Blocked,Bad Inventory,Putaway Pending,Pending Inventory Assessment,Stock In Transfer,Open Purchase,Enabled,Updated,Cost Price,Sub_category,Facility Code
Frido_0003,Aerosilver - Black - M Size,MK-AS-M-B,,,,,Medium,FRIDO,Mask,999.00,0,1,0,0,0,0,0,0,true,2026-05-07 16:00:50,114.00,,Frido_0003
Frido_0003,Aerosilver - Grey - M Size,MK-AS-M-G,,,,,Medium,FRIDO,Mask,999.00,0,0,0,0,0,0,0,0,true,2026-05-07 16:08:08,114.00,,Frido_0003
Frido_0003,Aerosilver - Black - L Size,MK-AS-L-B,,,,,Large,FRIDO,Mask,999.00,0,3,0,0,0,0,0,0,true,2026-05-07 16:08:08,114.00,,Frido_0003
Frido_0003,Aerosilver - Grey - L Size,MK-AS-L-G,,,,,Large,FRIDO,Mask,999.00,0,3,0,0,0,0,0,0,true,2026-05-07 16:08:08,114.00,,Frido_0003
Frido_0003,Ultimate Frido Mask - XS Size,MK-ULT-XS-B,,,,,,FRIDO,Mask,1200.00,0,0,0,0,0,0,0,0,true,2026-04-10 21:46:25,134.00,,Frido_0003
Frido_0003,Ultimate Frido Mask (Black) - S Size,MK-ULT-S-B,,,,,Small,FRIDO,Mask,1200.00,0,0,0,0,0,0,0,0,true,2026-01-11 04:17:51,134.00,,Frido_0003
Frido_0003,Ultimate Frido Mask (Black) - M Size,MK-ULT-M-B,,,,,Medium,FRIDO,Mask,1200.00,0,0,0,0,0,0,0,0,true,2026-04-10 21:46:25,134.00,,Frido_0003
Frido_0003,Ultimate Frido Mask (Black) - L Size,MK-ULT-L-B,,,,,Large,FRIDO,Mask,1200.00,0,0,0,0,0,0,0,0,true,2026-04-10 21:54:06,185.00,,Frido_0003
Frido_0003,Frido Ultimate Pro (Black) - S Size,MK-ULTP-S-B,,,,,Small,FRIDO,Mask,1599.00,0,4,0,0,0,0,0,0,true,2026-05-07 16:08:08,208.00,,Frido_0003
Frido_0003,Frido Ultimate Pro (Black) - M Size,MK-ULTP-M-B,,,,,Medium,FRIDO,Mask,1599.00,0,2,0,0,0,0,0,0,true,2026-05-07 16:08:09,208.00,,Frido_0003
