Facility,Item Type Name,Item SkuCode,EAN,UPC,ISBN,Color,Size,Brand,Category Name,MRP,Open Sale,Inventory,Inventory Blocked,Bad Inventory,Putaway Pending,Pending Inventory Assessment,Stock In Transfer,Open Purchase,Enabled,Updated,Cost Price,Sub_category,Facility Code
Frido_00016,Heel Cup (Men) - Frido,FR-HC-L,0612477538360,,,,large,FRIDO,Insole,1099.00,0,3,0,0,0,0,0,0,true,2026-06-01 18:01:11,69.00,Heel Pad,Frido_00016
Frido_00016,Heel Cup (Women) - Frido,FR-HC-S,0612477565151,,,,Small,FRIDO,Insole,1099.00,0,3,0,0,0,0,0,0,true,2026-06-01 18:01:15,61.00,Heel Pad,Frido_00016
Frido_00016,Frido Arch Support Insole- Small,FR-ASI-S,0612477565021,,,,Small,FRIDO,Insole,2799.00,0,4,0,0,0,0,0,0,true,2026-06-01 18:01:14,238.00,Arch Support Insole,Frido_00016
Frido_00016,Frido Arch Support Insole-Large,FR-ASI-L,0612477565007,,,,large,FRIDO,Insole,2799.00,0,0,0,0,0,0,1,0,true,2026-05-15 16:35:28,238.00,Arch Support Insole,Frido_00016
Frido_00016,"Frido Ultimate Sleep Pillow - Gel Cloud (Side Sleeping-4"")",FR-UNFP-M,,,,,4 Inch,FRIDO,Pillows,3999.00,0,15,0,0,0,0,2,0,true,2026-06-01 18:01:20,50.00,,Frido_00016
Frido_00016,Frido Ultimate Pro Posture Corrector,FR-UPPC-G,,,,,Regular,FRIDO,Cushions,3999.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:01:22,420.00,,Frido_00016
Frido_00016,Ultimate Car Neck Pillow - Black,FR-UCNP-B1,,,,Black,Regular,FRIDO,Pillows,1699.00,0,10,0,0,0,0,0,0,true,2026-06-01 18:02:19,220.00,,Frido_00016
Frido_00016,Untimate Car Neck Pillow - Multi Colour (Grey and Black),FR-UCNP-GB1,,,,Grey & Black,Regular,FRIDO,Pillows,3500.00,0,7,0,0,0,0,0,0,true,2026-06-01 18:11:04,220.00,,Frido_00016
Frido_00016,Frido Ultimate Car Backrest Cushion Grey,FR-UCBU-G1,,,,Grey,Regular,FRIDO,Cushions,0.00,0,3,0,0,0,0,4,0,true,2026-06-01 18:02:16,380.00,,Frido_00016
Frido_00016,Frido Ultimate Car Backrest Cushion Black,FR-UCBU-B1,,,,Black,Regular,FRIDO,Cushions,0.00,0,10,0,0,0,0,0,0,true,2026-06-01 18:01:17,380.00,,Frido_00016
Frido_00016,Frido Ultimate Wedge Cushion- White,FR-ULWC-W1,,,,White,Regular,FRIDO,Cushions,0.00,0,0,0,0,0,0,1,0,true,2026-05-14 17:55:30,490.00,,Frido_00016
Frido_00016,Frido Memory Hi-Per Foam Insoles- Large,FR-MHFI-L1,0612477565168,,,,large,FRIDO,Insole,0.00,0,1,0,0,0,0,1,0,true,2026-06-01 18:01:30,85.00,Memory Hi-Per Foam Insoles,Frido_00016
Frido_00016,Frido Memory Hi-Per Foam Insoles- Small,FR-MHFI-S1,0612477565175,,,,Small,FRIDO,Insole,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:01:31,85.00,Memory Hi-Per Foam Insoles,Frido_00016
Frido_00016,Frido Ultimate Neck Contour Cervical Plus Pillow Premium Blue,FR-OCVP-PB-L1,,,,Blue,Regular,FRIDO,Pillows,0.00,0,5,0,0,0,0,1,0,true,2026-06-01 18:10:58,485.00,,Frido_00016
Frido_00016,Frido Dual Gel Pro Insoles - Large,FR-DGPI-L1,0612477565113,,,,large,FRIDO,Insole,0.00,0,4,0,0,0,0,0,0,true,2026-06-01 18:00:43,0.00,Dual Gel Pro Insoles,Frido_00016
Frido_00016,Frido Dual Gel Pro Insoles - Small,FR-DGPI-S1,0612477565120,,,,Small,FRIDO,Insole,0.00,0,7,0,0,0,0,1,0,true,2026-06-01 18:00:45,0.00,Dual Gel Pro Insoles,Frido_00016
Frido_00016,Frido Ultimate Mattress Topper - Single / 6' x 3',FR-ULMT72X36X2,,,,,Single,FRIDO,Mattress Topper,0.00,0,1,0,0,0,0,0,0,true,2026-06-01 18:10:44,3999.00,,Frido_00016
Frido_00016,Frido Ultimate Wedge Plus Cushion- Black,FR-ULWC-PL-B1,,,,Black,Regular,FRIDO,Cushions,0.00,0,1,0,0,0,0,0,0,true,2026-06-01 18:10:38,500.00,,Frido_00016
Frido_00016,Frido Active Socks Cyan - Small,FR-ASC-S1,,,,Cyan,,FRIDO,Socks,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:01:06,0.00,,Frido_00016
Frido_00016,Frido Active Socks Cyan - Medium,FR-ASC-M1,,,,Cyan,,FRIDO,Socks,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:01:07,0.00,,Frido_00016
Frido_00016,Frido Active Socks Cyan - Large,FR-ASC-L1,,,,Cyan,,FRIDO,Socks,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:01:04,0.00,,Frido_00016
Frido_00016,Frido Active Socks Ash Blue - Medium,FR-ASAB-M1,,,,Ash Blue,,FRIDO,Socks,0.00,0,1,0,0,0,0,0,0,true,2026-06-01 18:01:02,0.00,,Frido_00016
Frido_00016,Frido Active Socks Core Black - Medium,FR-ASCB-M1,,,,Core Black,,FRIDO,Socks,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:01:19,0.00,,Frido_00016
Frido_00016,Frido Travel Neck Pillow Core Black,FR-TNP-CB1,,,,Core Black,,FRIDO,Pillows,3599.00,0,4,0,0,0,0,0,0,true,2026-06-01 18:11:11,0.00,,Frido_00016
Frido_00016,Frido Travel Neck Pillow Pink,FR-TNP-P1,,,,Pink,,FRIDO,Pillows,3599.00,0,1,0,0,0,0,0,0,true,2026-06-01 18:02:30,0.00,,Frido_00016
Frido_00016,Frido Ultimate Wedge Plus Cushion -  Mustard Yellow - MY,FR-ULWC-PL-MY1,,,,Mustard Yellow,Regular,FRIDO,Cushions,0.00,0,0,0,0,0,0,1,0,true,2026-05-20 15:13:04,490.00,,Frido_00016
Frido_00016,Frido Ultimate Wedge Plus Cushion- Coffe Brown,FR-ULWC-PL-CB1,,,,Coffee Brown,Regular,FRIDO,Cushions,0.00,0,1,0,0,0,0,2,0,true,2026-06-01 18:11:09,490.00,,Frido_00016
Frido_00016,Frido Cuddle Pillow- Tutu Pink,FR-CP-TP1,,,,Tutu Pink,,FRIDO,Pillows,0.00,0,0,0,0,0,0,2,0,true,2026-05-20 15:11:03,799.00,,Frido_00016
Frido_00016,Frido Cuddle Pillow- Mocha Brown,FR-CP-MB1,,,,Mocha Brown,,FRIDO,Pillows,0.00,0,0,0,0,0,0,3,0,true,2026-05-20 15:11:02,799.00,,Frido_00016
Frido_00016,Frido Cuddle Pillow- Pebble Grey,FR-CP-PG1,,,,Pebble Grey,,FRIDO,Pillows,0.00,0,0,0,0,0,0,2,0,true,2026-05-20 15:11:06,799.00,,Frido_00016
Frido_00016,Frido Active Socks - Charcoal Grey - S1,FR-AS-CG-S1,,,,,,FRIDO,Socks,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:00:37,399.00,,Frido_00016
Frido_00016,Frido Cloud Backrest Cushion - BLACK,FR-CLBC-B1,,,,BLACK,,FRIDO,Cushions,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:10:25,0.00,,Frido_00016
Frido_00016,Frido Cloud Backrest Cushion - LILLY pad,FR-CLBC-LP1,,,,LILLY pad,,FRIDO,Cushions,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:00:51,0.00,,Frido_00016
Frido_00016,Frido Active Socks - Ankle Length - Charcoal Grey - S,FR-AS-AL-CG-S1,,,,,,FRIDO,Socks,0.00,0,1,0,0,0,0,1,0,true,2026-06-01 18:01:55,0.00,,Frido_00016
Frido_00016,Frido Active Socks - Ankle Length - Cyan -S,FR-AS-AL-C-S1,,,,,,FRIDO,Socks,0.00,0,1,0,0,0,0,1,0,true,2026-06-01 18:01:57,0.00,,Frido_00016
Frido_00016,Frido Active Socks - Ankle Length - Neon Green - S,FR-AS-AL-NG-S1,,,,,,FRIDO,Socks,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:02:04,0.00,,Frido_00016
Frido_00016,Frido Active Socks - Ankle Length� - Core Black - S,FR-AS-AL-CB-S1,,,,,,FRIDO,Socks,0.00,0,1,0,0,0,0,0,0,true,2026-06-01 18:02:01,0.00,,Frido_00016
Frido_00016,Frido Cuddle Pillow- Yellow,FR-CP-Y1,,,,Yellow,,FRIDO,Pillows,0.00,0,0,0,0,0,0,2,0,true,2026-05-20 15:12:38,0.00,,Frido_00016
Frido_00016,Frido Mouse Wrist Support - Left,FR-MWS-L1,,,,,,FRIDO,Orthotics,0.00,0,1,0,0,0,0,1,0,true,2026-06-01 18:02:46,0.00,,Frido_00016
Frido_00016,Frido Orthotics Knee Cap Support- Black-M,FR-OKCS-BLK-M1,,,,,,FRIDO,Orthotics,0.00,0,1,0,0,0,0,1,0,true,2026-06-01 18:01:39,0.00,,Frido_00016
Frido_00016,Frido Orthotics Knee Cap Support Black-L,FR-OKCS-BLK-L1,,,,,,FRIDO,Orthotics,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:01:46,0.00,,Frido_00016
Frido_00016,Frido Orthotics Knee Cap Support Black-XL,FR-OKCS-BLK-XL1,,,,,,FRIDO,Orthotics,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:01:47,0.00,,Frido_00016
Frido_00016,Frido Orthotics Knee Cap Support- Grey-M,FR-OKCS-GRY-M1,,,,,,FRIDO,Orthotics,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:01:44,0.00,,Frido_00016
Frido_00016,Frido Orthotics Knee Cap Support Grey-L,FR-OKCS-GRY-L1,,,,,,FRIDO,Orthotics,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:01:45,0.00,,Frido_00016
Frido_00016,Frido Orthotics Knee Cap Support- Blue-M,FR-OKCS-BLU-M1,,,,,,FRIDO,Orthotics,0.00,0,1,0,0,0,0,1,0,true,2026-06-01 18:01:54,0.00,,Frido_00016
Frido_00016,Frido Orthotics Knee Cap Support- Blue-XL,FR-OKCS-BLU-XL1,,,,,,FRIDO,Orthotics,0.00,0,1,0,0,0,0,1,0,true,2026-06-01 18:01:50,0.00,,Frido_00016
Frido_00016,Frido Silicone Gel Insole  L - Transparent,FR-SGI-TP-L1,0612477693328,,,,,FRIDO,Insole,0.00,0,3,0,0,0,0,1,0,true,2026-06-01 18:02:31,0.00,Silicone Gel Insole,Frido_00016
Frido_00016,Frido Silicone Gel Insole  L - Beige,FR-SGI-BE-L1,0612477693045,,,,,FRIDO,Insole,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:02:42,0.00,Silicone Gel Insole,Frido_00016
Frido_00016,Frido Silicone Gel Insole  L - Grey,FR-SGI-G-L1,0612477693069,,,,,FRIDO,Insole,0.00,0,6,0,0,0,0,0,0,true,2026-06-01 18:02:43,0.00,Silicone Gel Insole,Frido_00016
Frido_00016,Frido Orthopaedic Heel Pad Pro  L - Beige,FR-OHPP-BE-L1,,,,,,FRIDO,Insole,0.00,0,3,0,0,0,0,1,0,true,2026-06-01 18:02:39,0.00,Heel Pad Pro,Frido_00016
Frido_00016,Frido Orthotics Lumbo Sacral Belt New - XL,FR-OLSC-N-XL1,,,,,,FRIDO,Orthotics,0.00,0,0,0,0,0,0,4,0,true,2026-05-30 21:00:45,0.00,,Frido_00016
Frido_00016,Frido Cloud Seat Cushion-Pebble Grey-Small,FR-CSC-PG-S1,,,,,,FRIDO,Cushions,0.00,0,2,0,0,0,0,0,0,true,2026-06-01 18:01:37,0.00,,Frido_00016
Frido_00016,Frido Cloud Seat Cushion-Black-Small,FR-CSC-B-S1,,,,,,FRIDO,Cushions,0.00,0,0,0,0,0,0,2,0,true,2026-05-20 15:11:35,0.00,,Frido_00016
Frido_00016,Frido Orthotics Posture Corrector - S,FR-OPC-S1,,,,,,FRIDO,Orthotics,0.00,0,10,0,0,0,0,0,0,true,2026-06-01 18:01:52,0.00,,Frido_00016
Frido_00016,Frido Orthotics Posture Corrector M,FR-OPC-M1,,,,,,FRIDO,Orthotics,0.00,0,4,0,0,0,0,6,0,true,2026-06-01 18:01:53,0.00,,Frido_00016
Frido_00016,Frido Leg elevation Pillow – White and Grey,FR-LEP-WG1,,,,,,FRIDO,Pillows,,0,1,0,0,0,0,0,0,true,2026-06-01 18:00:20,,,Frido_00016
Frido_00016,Frido Knee Pillow – Grey,FR-KP-G1,,,,,,FRIDO,Pillows,,0,1,0,0,0,0,0,0,true,2026-06-01 18:02:34,,,Frido_00016
Frido_00016,Frido Cloud comfort Slippers - Soft peach-UK-9,FR-CCS-09-SP1,,,,Soft peach,9,FRIDO,Footwear ,,0,2,0,0,0,0,0,0,true,2026-06-01 18:01:48,,,Frido_00016
Frido_00016,Frido Cloud comfort Slippers - Soft peach-UK-10,FR-CCS-10-SP1,,,,Soft peach,10,FRIDO,Footwear ,,0,2,0,0,0,0,0,0,true,2026-06-01 18:10:47,,,Frido_00016
Frido_00016,Frido Cloud comfort Slippers - Charcoal Black-UK-7,FR-CCS-07-CB1,,,,Charcoal Black,7,FRIDO,Footwear ,,0,2,0,0,0,0,0,0,true,2026-06-01 18:01:38,,,Frido_00016
Frido_00016,Frido Cloud comfort Slippers - Charcoal Black-UK-9,FR-CCS-09-CB1,,,,Charcoal Black,9,FRIDO,Footwear ,,0,1,0,0,0,0,1,0,true,2026-06-01 18:01:42,,,Frido_00016
